vendor_id,vendor_name,category,subcategory,risk_score,financial_health,location,size,contract_start,primary_contact,payment_terms,preferred_vendor_status,spend_volume_tier,contract_complexity,renewal_frequency,price_escalation_terms
V0338,"Fitzpatrick, Rivera and Smith",HR,Training,2.28,Poor,North Maryfort,Medium,2022-09-25,chancharles@example.net,Net 30,True,Medium,Medium,Biennial,CPI Linked
V0339,Conway Ltd,Marketing,SEO,5.29,Good,South Vanessa,Medium,2023-01-17,steven12@example.org,Net 30,False,Low,High,Annual,Negotiated
V0340,Ward-Rhodes,HR,Training,2.69,Good,Rodgersville,Large,2024-03-24,smithdevon@example.net,Net 60,True,High,High,Annual,Negotiated
V0341,Murphy Group,IT,Hardware,7.51,Poor,Natalieland,Small,2023-03-18,ian66@example.com,Net 60,False,Medium,Low,Annual,Fixed
V0342,Houston-Vaughn,HR,Training,4.51,Good,Marshburgh,Medium,2022-08-28,heatherbrown@example.org,Net 30,False,Medium,High,Annual,Negotiated
V0343,Perry PLC,Marketing,Digital Ads,2.11,Poor,Phammouth,Large,2022-10-20,nmaxwell@example.org,Net 60,True,High,Medium,Annual,Fixed
V0344,"Hobbs, Acosta and Snow",Marketing,Events,5.35,Poor,Knappville,Medium,2024-04-21,ealexander@example.com,Net 45,False,High,High,Biennial,CPI Linked
V0345,"Edwards, Bush and Gregory",Operations,Logistics,6.44,Good,Lake Morgan,Large,2023-07-10,reynoldsjessica@example.com,Net 45,False,Medium,Low,Biennial,Negotiated
V0346,Alvarado-Davidson,Marketing,Digital Ads,1.39,Poor,Port Margaret,Large,2024-04-24,smithsarah@example.net,Net 45,True,Low,High,Annual,Negotiated
V0347,Christian-Booth,HR,Recruiting,5.39,Average,Port Travisbury,Medium,2023-02-14,brent38@example.net,Net 30,False,Low,Low,Biennial,Fixed
V0348,Powell-Young,IT,Hardware,7.58,Poor,Wallaceshire,Large,2023-05-16,gatessergio@example.org,Net 60,False,Low,Medium,Annual,CPI Linked
V0349,Mcgee-Smith,Facilities,Cleaning,4.39,Good,Gutierrezside,Large,2023-08-02,petersenlatoya@example.net,Net 60,False,Medium,High,Biennial,Negotiated
V0350,"Torres, Romero and Clark",Marketing,SEO,9.55,Poor,Clementsstad,Medium,2024-03-04,velasquezmegan@example.com,Net 30,True,Medium,Medium,Biennial,Negotiated
V0351,"Saunders, Greene and Moran",HR,Training,0.84,Poor,Jenniferville,Small,2022-08-16,aaronkelly@example.net,Net 60,False,Medium,High,Biennial,Negotiated
V0352,Kelley-Brooks,Facilities,Maintenance,7.34,Poor,North Pennyfort,Medium,2022-09-19,nrodriguez@example.org,Net 30,True,Medium,Low,Annual,CPI Linked
V0353,Martinez Group,HR,Recruiting,0.04,Average,South Makayla,Small,2022-10-28,daniel60@example.net,Net 30,False,Medium,High,Biennial,CPI Linked
V0354,"Chapman, Barton and Hayes",Marketing,SEO,4.51,Average,South Adam,Medium,2023-12-25,tranryan@example.net,Net 30,False,Low,High,Biennial,Fixed
V0355,Glass-Norman,Operations,Utilities,2.65,Good,Lake Beth,Large,2023-12-21,dalesandoval@example.net,Net 45,False,Low,Medium,Annual,Fixed
V0356,Gordon-Cruz,Operations,Utilities,5.78,Good,West Raymond,Medium,2023-02-23,shawn22@example.com,Net 45,False,Medium,Medium,Annual,CPI Linked
V0357,"Graves, Goodman and Evans",IT,Hardware,8.16,Average,Jenniferside,Medium,2023-10-06,jamesweber@example.com,Net 45,True,Low,Low,Biennial,CPI Linked
V0358,"Reed, Chambers and Zavala",HR,Recruiting,2.85,Average,New Amy,Small,2023-10-09,jennifer58@example.com,Net 45,False,Low,Low,Biennial,CPI Linked
V0359,"Duncan, Contreras and Butler",Operations,Logistics,5.13,Average,Nataliechester,Small,2024-02-19,millsanthony@example.org,Net 45,True,High,Medium,Biennial,Negotiated
V0360,Santiago and Sons,Facilities,Maintenance,6.14,Poor,Karenburgh,Small,2023-01-10,dwayne04@example.org,Net 30,False,High,Medium,Biennial,Negotiated
V0361,"Johnson, Cervantes and Garcia",IT,Cloud,0.72,Poor,Lake Deborah,Small,2023-03-31,williamrobles@example.net,Net 45,False,High,Low,Biennial,CPI Linked
V0362,Schwartz-Williams,HR,Training,4.65,Good,Hughesmouth,Medium,2023-08-04,smithjohn@example.net,Net 30,True,Medium,High,Annual,CPI Linked
V0363,Greer-Pruitt,IT,Cloud,1.96,Good,Kariside,Small,2023-12-27,kimberlybrandt@example.com,Net 30,True,Medium,Medium,Annual,CPI Linked
V0364,Thompson-Fleming,IT,Hardware,9.36,Good,East Jill,Large,2022-09-02,rwilliams@example.net,Net 30,False,High,High,Annual,Negotiated
V0365,Anderson-Silva,Operations,Logistics,5.9,Poor,Adammouth,Large,2023-12-05,billmcfarland@example.net,Net 45,False,Low,Medium,Annual,Negotiated
V0366,Ayala Ltd,Operations,Utilities,2.84,Poor,Tracyshire,Small,2023-08-03,charles58@example.org,Net 60,True,Medium,High,Annual,Negotiated
V0367,Meyer PLC,HR,Recruiting,1.74,Average,South Amy,Large,2023-04-11,baileynicole@example.net,Net 45,False,Medium,Low,Biennial,CPI Linked
V0368,Rivera-Carter,Facilities,Cleaning,6.63,Average,Barajastown,Small,2022-08-30,sean99@example.org,Net 45,False,Medium,High,Biennial,Negotiated
V0369,Fleming LLC,Operations,Logistics,7.67,Good,Moonville,Large,2023-03-28,amber40@example.net,Net 60,False,High,High,Annual,CPI Linked
V0370,Robertson-Hicks,HR,Recruiting,5.12,Good,Williamsborough,Large,2023-02-05,vaughangary@example.net,Net 45,True,High,High,Annual,Fixed
V0371,"Smith, Jones and Santiago",Facilities,Cleaning,9.69,Good,Port Gina,Medium,2024-03-12,harrismaria@example.net,Net 45,False,Low,Low,Annual,Fixed
V0372,Lucas-Case,HR,Recruiting,6.44,Good,North Stephen,Medium,2023-02-14,millerbrian@example.com,Net 30,True,High,High,Annual,Negotiated
V0373,"Jones, Underwood and Bartlett",IT,Hardware,6.78,Good,Hughesfurt,Large,2023-05-04,andre18@example.org,Net 45,False,Medium,Medium,Biennial,Negotiated
V0374,"Cortez, Brown and Reese",Operations,Utilities,5.01,Average,Lake Melaniestad,Small,2024-05-22,robertsgina@example.net,Net 45,False,Medium,High,Annual,Negotiated
V0375,Campbell Group,Facilities,Maintenance,1.34,Good,Fostertown,Large,2023-06-05,amandataylor@example.com,Net 45,False,High,Low,Biennial,CPI Linked
V0376,"Phillips, Walters and Evans",Marketing,Digital Ads,0.14,Good,Susantown,Medium,2023-08-05,davidsmith@example.net,Net 60,True,Low,High,Biennial,Negotiated
V0377,Medina-Arroyo,Operations,Logistics,5.07,Good,Jasonstad,Medium,2022-11-13,gwhitehead@example.org,Net 30,False,Medium,Medium,Biennial,Negotiated
V0378,White PLC,Operations,Logistics,5.66,Good,Jamesburgh,Medium,2023-11-05,yorksarah@example.net,Net 60,False,Medium,Medium,Biennial,CPI Linked
V0379,Newman-Jones,Marketing,Digital Ads,6.39,Good,West Coreyshire,Large,2023-06-15,michael31@example.com,Net 45,False,Low,High,Annual,Fixed
V0380,"Jones, Lee and Tucker",HR,Recruiting,4.62,Average,Christinaport,Small,2023-11-22,arianadiaz@example.com,Net 45,True,Low,Medium,Annual,Negotiated
V0381,Jackson-Edwards,Marketing,Events,9.59,Good,Lake Jodi,Large,2023-05-06,mary25@example.com,Net 30,False,Low,High,Annual,Negotiated
V0382,Griffin-Hampton,Marketing,SEO,1.35,Poor,Arnoldburgh,Small,2023-10-16,wilkinsonmichele@example.org,Net 60,False,Low,Medium,Annual,CPI Linked
V0383,"Gonzalez, Gross and Sims",Operations,Utilities,8.64,Poor,North Melissatown,Medium,2024-02-23,nhammond@example.org,Net 45,False,Low,Medium,Biennial,CPI Linked
V0384,"Green, Shannon and Fernandez",Facilities,Cleaning,0.3,Poor,West Philip,Medium,2024-04-24,dennis88@example.org,Net 45,False,Medium,High,Annual,CPI Linked
V0385,Cox-Smith,Marketing,Digital Ads,0.46,Good,Port Tamara,Large,2023-09-21,katherinetaylor@example.org,Net 30,True,High,High,Biennial,Negotiated
V0386,Knight PLC,Operations,Utilities,0.48,Average,Lake Jessica,Small,2024-05-31,billy73@example.org,Net 45,False,High,Low,Biennial,Fixed
V0387,Wood-Williams,Facilities,Maintenance,6.09,Good,New Rebecca,Medium,2023-03-09,dharrison@example.org,Net 30,False,High,Low,Biennial,CPI Linked
V0388,Hooper LLC,Facilities,Maintenance,6.58,Poor,Lake Tanyaview,Small,2024-03-11,beth92@example.com,Net 45,False,Medium,High,Biennial,Fixed
V0389,"Gray, Matthews and Villanueva",IT,Software,7.57,Average,New Johnbury,Large,2023-07-08,wgomez@example.com,Net 60,False,Medium,Medium,Annual,Fixed
V0390,Eaton-Smith,Operations,Utilities,9.72,Good,South Gabriel,Large,2022-07-31,jason22@example.com,Net 30,False,High,High,Annual,CPI Linked
V0391,"Love, Wilson and Hall",Operations,Utilities,2.2,Poor,Jenniferfort,Small,2023-11-08,lmendoza@example.org,Net 30,False,High,Low,Annual,Fixed
V0392,"Whitaker, Johnson and Williams",Marketing,Digital Ads,7.99,Poor,East Crystal,Large,2022-07-02,brianscott@example.org,Net 60,True,Low,High,Biennial,Fixed
V0393,"Mullen, Greene and Elliott",Marketing,Events,6.59,Good,Lake Jessicaport,Small,2022-08-07,shanehaney@example.com,Net 60,False,Medium,Low,Annual,CPI Linked
V0394,Robinson Group,Marketing,Digital Ads,8.65,Average,Port Brandi,Medium,2024-01-19,cindydixon@example.org,Net 30,False,Medium,Low,Biennial,Negotiated
V0395,"Jennings, Nielsen and Carlson",IT,Hardware,0.73,Poor,East Nicholasberg,Large,2022-08-25,harrismichele@example.net,Net 30,False,Low,Medium,Annual,CPI Linked
V0396,"Barnes, Hernandez and Davis",Marketing,SEO,0.76,Poor,Valenzuelaton,Medium,2024-04-13,davisdonna@example.net,Net 30,True,Medium,High,Annual,Fixed
V0397,"Carey, Prince and Hampton",Facilities,Cleaning,2.8,Good,Boydstad,Small,2024-04-11,wolferoy@example.com,Net 60,True,High,Low,Biennial,Negotiated
V0398,Bell-Ballard,HR,Recruiting,3.56,Good,South Dennisfort,Medium,2024-01-17,reneemiller@example.net,Net 45,False,High,High,Annual,Fixed
V0399,"Ortiz, Lopez and Fletcher",IT,Software,1.34,Average,New Alexandrahaven,Small,2022-06-07,spena@example.com,Net 60,False,Low,Low,Annual,Negotiated
V0400,Cox-Moore,Facilities,Maintenance,0.03,Good,Joseside,Medium,2023-04-26,cheryl63@example.com,Net 45,True,High,Medium,Biennial,Negotiated
V0401,"Bowers, Olson and Wood",HR,Training,1.35,Average,Kingport,Large,2023-08-24,kim62@example.net,Net 30,True,Medium,Medium,Biennial,Fixed
V0402,Adkins Group,Facilities,Cleaning,2.89,Good,North Jason,Medium,2023-04-09,lauren90@example.org,Net 30,False,Medium,Low,Annual,CPI Linked
V0403,Oconnell-Smith,Marketing,Events,8.36,Good,Port Dustinchester,Medium,2022-08-09,bakernathan@example.net,Net 45,False,Low,Low,Biennial,Fixed
V0404,Ramsey Group,HR,Training,7.37,Good,Jenniferton,Medium,2024-01-23,daniellegonzales@example.org,Net 30,True,High,Low,Annual,Negotiated
V0405,"Galvan, Holmes and Lee",Operations,Logistics,9.01,Poor,New Gavin,Medium,2022-06-30,john02@example.org,Net 60,True,Low,High,Biennial,CPI Linked
V0406,Chan-Gomez,Marketing,SEO,7.54,Poor,Sullivanborough,Large,2023-07-09,mclaughlincasey@example.org,Net 60,False,High,High,Annual,CPI Linked
V0407,"Mitchell, Gallegos and Herman",HR,Training,8.17,Average,Michaelview,Medium,2022-11-24,shawnpowell@example.org,Net 45,False,High,Medium,Annual,Negotiated
V0408,Thompson-Hunter,IT,Software,5.75,Good,New Kellyville,Large,2024-02-15,nancy94@example.net,Net 45,True,Low,Medium,Biennial,Fixed
V0409,Church-Hart,Operations,Utilities,6.96,Average,Port Matthew,Large,2024-01-25,lmaldonado@example.org,Net 60,False,Medium,Medium,Biennial,Fixed
V0410,Wilson-Jones,IT,Software,6.75,Average,Lake Jacqueline,Large,2024-02-13,robert58@example.net,Net 45,True,Low,High,Annual,CPI Linked
V0411,Haynes LLC,Facilities,Maintenance,7.04,Good,West Christopher,Large,2023-11-07,charles27@example.com,Net 30,False,Medium,Medium,Annual,Negotiated
V0412,Robinson-Berry,Facilities,Maintenance,7.64,Good,Lake Felicia,Small,2024-05-08,victorgonzalez@example.net,Net 30,False,Low,High,Annual,CPI Linked
V0413,Salas and Sons,Marketing,SEO,2.74,Poor,East Mary,Small,2024-03-12,eric11@example.org,Net 45,False,High,Low,Annual,Negotiated
V0414,"Sosa, Vasquez and Smith",Marketing,SEO,2.2,Good,Port Timothymouth,Medium,2023-06-19,travis84@example.com,Net 30,False,High,Low,Biennial,Negotiated
V0415,Christensen and Sons,Operations,Utilities,6.77,Good,New Laurenfort,Medium,2024-05-31,shawphillip@example.net,Net 45,False,High,Low,Biennial,Negotiated
V0416,Bryant Inc,Facilities,Maintenance,0.77,Average,Stewarttown,Medium,2022-06-11,nicolasgarcia@example.com,Net 30,False,Medium,Low,Biennial,CPI Linked
V0417,"Hensley, Lopez and Baker",Operations,Logistics,7.31,Good,Thomasmouth,Medium,2023-03-13,victorclark@example.net,Net 45,True,Low,Low,Annual,Fixed
V0418,Diaz-Morales,HR,Training,7.87,Average,Whiteberg,Small,2023-08-23,lisale@example.org,Net 45,True,Medium,High,Biennial,Fixed
V0419,"Reynolds, James and Thomas",Facilities,Maintenance,8.8,Poor,South Linda,Small,2022-10-17,oporter@example.net,Net 60,False,Medium,Medium,Annual,CPI Linked
V0420,"Le, Floyd and Evans",Marketing,SEO,0.22,Average,South Coreyburgh,Small,2022-07-18,lisawoods@example.net,Net 60,True,High,Low,Annual,CPI Linked
V0421,Cole LLC,Marketing,Digital Ads,6.68,Poor,Michaelside,Large,2023-08-09,maurice61@example.com,Net 30,False,Medium,High,Biennial,CPI Linked
V0422,"Mccarty, Gonzalez and Johnston",HR,Recruiting,7.21,Average,Port Justin,Large,2023-02-09,champton@example.org,Net 45,False,High,High,Biennial,Negotiated
V0423,Austin-Ford,Facilities,Cleaning,3.87,Poor,Port Gary,Medium,2024-02-19,robert99@example.com,Net 45,False,Medium,High,Annual,Negotiated
V0424,Miller LLC,HR,Recruiting,8.53,Poor,West Logan,Medium,2023-01-14,catherine64@example.com,Net 45,False,Low,Medium,Biennial,CPI Linked
V0425,Adkins-Meyer,Operations,Logistics,1.57,Poor,Gutierrezburgh,Large,2024-03-26,martinezjimmy@example.com,Net 60,False,Low,Low,Annual,Negotiated
V0426,"Haynes, Miller and Jackson",HR,Recruiting,4.6,Good,North Calebfort,Medium,2023-08-01,johnsonrandy@example.org,Net 60,False,Medium,High,Biennial,Negotiated
V0427,Baker and Sons,IT,Software,6.15,Good,Lake Sarahfurt,Medium,2023-01-28,johnmitchell@example.net,Net 60,False,High,Low,Biennial,Fixed
V0428,Anderson and Sons,Operations,Logistics,2.34,Average,North Elizabethmouth,Small,2024-04-03,imcdonald@example.com,Net 45,False,Low,High,Annual,CPI Linked
V0429,"Wallace, Montes and Wolfe",Operations,Logistics,5.38,Average,New Carla,Small,2023-10-05,omills@example.net,Net 30,True,High,High,Biennial,Fixed
V0430,Stout-Olson,Marketing,Events,3.42,Good,Port Christopher,Large,2023-01-27,robert24@example.org,Net 45,False,Medium,Medium,Biennial,Negotiated
V0431,Mills and Sons,Marketing,SEO,7.16,Good,Justinside,Large,2022-06-08,earroyo@example.com,Net 45,False,Medium,Low,Biennial,Negotiated
V0432,Cannon LLC,IT,Cloud,9.82,Poor,Port Adrian,Medium,2023-03-19,robertcastro@example.com,Net 60,True,Medium,Low,Annual,Negotiated
V0433,Martin Ltd,Facilities,Cleaning,7.47,Average,Claytonbury,Large,2022-12-23,hendersonjohn@example.net,Net 30,False,High,Medium,Annual,CPI Linked
V0434,"Cohen, Mitchell and Paul",IT,Software,2.75,Good,Robertland,Large,2022-10-21,keithwalsh@example.net,Net 45,False,High,High,Annual,CPI Linked
V0435,Nelson-Dean,HR,Training,5.09,Average,West Andrew,Medium,2022-07-10,lopezcurtis@example.com,Net 30,True,High,Medium,Annual,Fixed
V0436,Espinoza Ltd,Marketing,Digital Ads,8.63,Good,East Christophertown,Large,2023-06-20,matthewcollins@example.com,Net 30,True,Medium,Medium,Biennial,CPI Linked
V0437,Ford-Moody,Operations,Utilities,4.08,Poor,Christopherberg,Medium,2022-07-15,kimberly18@example.com,Net 30,True,Low,Medium,Annual,Negotiated
V0438,Lee LLC,Operations,Utilities,4.94,Poor,Claytonville,Medium,2024-01-19,paulproctor@example.org,Net 45,False,Low,High,Annual,CPI Linked
V0439,"Vang, Gonzalez and Moss",Operations,Utilities,4.54,Good,New Elizabethborough,Small,2023-06-04,tmaldonado@example.com,Net 60,True,Low,Medium,Annual,CPI Linked
V0440,Soto Inc,IT,Software,4.88,Good,West Timothyport,Large,2022-11-03,paige31@example.org,Net 30,False,Medium,Low,Annual,Negotiated
V0441,"Hamilton, Smith and Bauer",Operations,Utilities,3.55,Poor,South Kristinatown,Large,2022-07-04,jbarker@example.com,Net 30,True,High,Medium,Biennial,CPI Linked
V0442,Wright Group,Marketing,SEO,1.73,Poor,Lake Christineton,Medium,2022-07-18,deanna81@example.org,Net 60,True,High,Medium,Annual,Fixed
V0443,Hall-Holden,Marketing,Digital Ads,9.98,Good,Lindamouth,Medium,2023-12-23,andrewgray@example.net,Net 60,False,Low,High,Annual,Fixed
V0444,King Inc,Marketing,Events,6.69,Poor,Mannside,Small,2023-01-16,llopez@example.net,Net 30,False,Low,Low,Biennial,CPI Linked
V0445,Morris-Mcdonald,Marketing,Events,2.28,Good,North Amanda,Large,2023-05-17,lori85@example.com,Net 30,True,High,Medium,Biennial,CPI Linked
V0446,Parsons PLC,IT,Hardware,4.62,Average,Grosstown,Large,2023-09-26,kimberly35@example.net,Net 60,True,Medium,Medium,Annual,Negotiated
V0447,Barrett PLC,Marketing,Events,7.09,Average,Leefort,Large,2024-01-17,chloemorris@example.net,Net 60,False,Low,Medium,Annual,Fixed
V0448,Rodriguez-Mills,HR,Recruiting,8.65,Poor,North Maryberg,Medium,2022-10-18,harristodd@example.org,Net 45,False,Medium,Low,Annual,Negotiated
V0449,Duncan Group,Facilities,Maintenance,7.03,Poor,Foxshire,Large,2022-12-17,diazcatherine@example.org,Net 60,True,Medium,Low,Biennial,Negotiated
V0450,Conrad and Sons,Facilities,Maintenance,8.85,Poor,Hebertland,Large,2023-05-31,wardjulia@example.com,Net 45,False,Low,Low,Annual,Fixed
V0451,Bauer-Brown,Operations,Logistics,5.31,Average,Allisonland,Medium,2024-03-11,christian38@example.org,Net 30,False,Medium,Medium,Annual,Fixed
V0452,Hardy PLC,IT,Hardware,8.43,Average,Lopezhaven,Medium,2023-10-25,ashleymeza@example.net,Net 45,False,Low,Medium,Annual,Negotiated
V0453,"Grant, Reese and Miranda",Operations,Utilities,4.25,Average,Emilychester,Small,2024-04-17,jacksonhenry@example.com,Net 45,False,Medium,Medium,Biennial,Negotiated
V0454,"Morgan, Moore and Murillo",Facilities,Maintenance,8.11,Poor,Mahoneymouth,Small,2023-08-03,megan66@example.net,Net 60,True,Low,High,Biennial,Negotiated
V0455,Franklin-Hart,Operations,Utilities,2.35,Good,South Katie,Large,2024-05-21,michael77@example.com,Net 45,False,Low,Medium,Annual,Fixed
V0456,Barber LLC,Operations,Logistics,9.62,Poor,New Derekport,Medium,2022-06-07,tracey35@example.org,Net 60,False,Medium,Low,Biennial,Negotiated
V0457,"Short, Ellison and Dixon",Marketing,SEO,2.39,Average,North Benjamin,Large,2023-03-05,devonrichardson@example.net,Net 30,False,Medium,Medium,Annual,CPI Linked
V0458,Hall LLC,Marketing,Digital Ads,3.03,Average,New Ricardoborough,Large,2023-12-24,cummingslaura@example.org,Net 45,True,Medium,High,Annual,CPI Linked
V0459,Petersen-Norris,IT,Software,4.3,Good,New Dawnton,Medium,2023-12-21,dmiller@example.com,Net 60,True,Medium,High,Biennial,CPI Linked
V0460,Hobbs-Hamilton,IT,Cloud,3.13,Poor,Port Kayleetown,Medium,2023-10-07,hbrown@example.org,Net 30,True,Low,Low,Biennial,Negotiated
V0461,Fernandez-Hernandez,Facilities,Cleaning,7.64,Poor,East Brent,Large,2023-12-22,wmaddox@example.net,Net 30,True,Low,Low,Biennial,Fixed
V0462,"Wagner, Walker and Roberts",IT,Cloud,2.6,Average,Hernandezmouth,Small,2022-08-05,dduncan@example.net,Net 60,True,Medium,High,Biennial,Negotiated
V0463,Baker-Ross,IT,Software,6.19,Poor,Ayalaberg,Large,2024-01-14,timothygonzalez@example.com,Net 45,False,High,High,Biennial,Fixed
V0464,"Duncan, Hoffman and Shea",HR,Recruiting,0.76,Average,East Charles,Small,2024-01-26,kmorris@example.org,Net 30,False,High,Medium,Biennial,Negotiated
V0465,Powers Group,HR,Recruiting,8.83,Good,Michaelmouth,Medium,2023-02-24,carrillogary@example.com,Net 60,True,Low,Low,Annual,Negotiated
V0466,"Underwood, Lang and Hanson",Marketing,SEO,2.52,Average,Williamsbury,Large,2022-11-04,eric11@example.net,Net 30,False,High,High,Biennial,CPI Linked
V0467,Sanchez PLC,Marketing,Events,1.99,Poor,Port Marissa,Small,2023-01-11,cooperlinda@example.com,Net 45,False,Low,Medium,Biennial,Negotiated
V0468,Ruiz-Rivera,IT,Hardware,0.09,Average,East Amy,Small,2024-01-05,ana92@example.net,Net 45,False,Low,Low,Annual,Fixed
V0469,"Barnett, Bennett and Escobar",IT,Hardware,7.85,Good,West Georgeport,Small,2022-11-04,brian01@example.com,Net 30,True,High,High,Biennial,Fixed
V0470,"Nelson, Christian and Keller",Operations,Logistics,4.21,Poor,North Kellyfurt,Medium,2022-11-28,tromero@example.org,Net 60,False,Low,Medium,Biennial,Fixed
V0471,Washington-Harper,Operations,Utilities,8.74,Poor,East Jamesmouth,Medium,2023-08-11,williamssandra@example.com,Net 45,True,Medium,Medium,Biennial,Fixed
V0472,Burns-Garner,HR,Recruiting,2.2,Average,West Gabriellestad,Small,2023-09-30,joel84@example.org,Net 60,True,High,Medium,Biennial,CPI Linked
V0473,"Scott, Hughes and Cooke",Operations,Utilities,8.14,Average,New Stacybury,Small,2022-09-27,penny21@example.net,Net 60,False,High,High,Annual,Negotiated
V0474,Meyer-Gregory,Marketing,SEO,6.54,Average,South John,Medium,2022-09-28,mwaller@example.com,Net 30,True,Low,High,Annual,Fixed
V0475,Daniels-Clark,Operations,Logistics,2.51,Poor,New Amber,Small,2024-02-13,michelleparker@example.net,Net 30,True,Medium,Medium,Annual,Fixed
V0476,"Browning, Jordan and Stout",Marketing,Events,4.45,Good,Lake Sarah,Small,2024-05-14,lonniegrant@example.net,Net 60,False,Low,Medium,Biennial,CPI Linked
V0477,White and Sons,Facilities,Cleaning,4.06,Poor,Port Lucaschester,Large,2023-04-17,scott42@example.org,Net 60,False,Low,Low,Annual,CPI Linked
V0478,Anderson Inc,Marketing,Events,9.35,Average,Catherinebury,Medium,2023-09-08,jerryjohnson@example.org,Net 60,False,Low,High,Annual,Negotiated
V0479,"Chan, Anderson and Mathis",Facilities,Maintenance,0.72,Poor,Josephstad,Large,2022-10-22,ihenry@example.org,Net 45,True,High,High,Biennial,Negotiated
V0480,Perez Group,Operations,Utilities,5.47,Good,West Stephaniebury,Small,2023-12-30,katherinejones@example.com,Net 45,False,Medium,High,Annual,Fixed
V0481,"Burns, Nguyen and Ellis",IT,Software,9.82,Average,South Richard,Medium,2022-07-04,zcortez@example.net,Net 30,True,High,Medium,Annual,Negotiated
V0482,"Armstrong, Herrera and Davidson",HR,Recruiting,0.44,Poor,New Danielmouth,Large,2024-03-05,richjohn@example.net,Net 60,True,Medium,Medium,Annual,Fixed
V0483,Terrell-Williams,Marketing,Digital Ads,6.61,Good,Blackton,Large,2022-10-27,scott44@example.com,Net 60,True,Low,High,Annual,Negotiated
V0484,Henderson PLC,HR,Training,1.86,Poor,Lake Zacharyberg,Medium,2023-05-28,gdavis@example.org,Net 60,False,Medium,Medium,Annual,CPI Linked
V0485,Osborne Ltd,Facilities,Cleaning,7.7,Average,South Robert,Small,2023-05-18,whitebrittany@example.net,Net 30,False,Medium,High,Annual,CPI Linked
V0486,Khan Inc,HR,Recruiting,9.84,Poor,Marioburgh,Large,2023-12-11,davisjasmin@example.net,Net 30,True,Low,Medium,Annual,CPI Linked
V0487,Miller-Zimmerman,Facilities,Cleaning,6.91,Good,South Andrea,Large,2022-07-06,rhondacunningham@example.net,Net 30,False,Medium,High,Biennial,Negotiated
V0488,Martin and Sons,Operations,Utilities,0.87,Poor,Port Jennifer,Small,2023-04-23,kyle74@example.net,Net 45,False,Low,High,Biennial,Fixed
V0489,Wilson and Sons,IT,Cloud,0.26,Poor,North Cindy,Medium,2022-12-15,ellismelissa@example.net,Net 45,True,Low,Low,Annual,Negotiated
V0490,Franklin Group,Operations,Utilities,8.61,Average,East Brianna,Medium,2023-06-06,fortiz@example.net,Net 45,True,High,Medium,Biennial,Fixed
V0491,"Smith, Khan and Ramirez",Operations,Utilities,2.75,Average,North Jack,Small,2022-07-14,benjamin09@example.net,Net 60,True,Medium,High,Annual,CPI Linked
V0492,Rivera-Miller,Marketing,SEO,8.5,Good,South Victoriaburgh,Small,2023-11-06,cheryl99@example.net,Net 45,True,Low,Low,Annual,Fixed
V0493,Burch Ltd,Facilities,Maintenance,4.5,Good,Sarahland,Small,2024-01-19,marcus61@example.com,Net 45,False,High,Medium,Biennial,Fixed
V0494,"Brown, Ruiz and Martinez",Operations,Logistics,8.89,Average,Markchester,Small,2023-07-14,heathersalazar@example.org,Net 30,True,High,Medium,Annual,Fixed
V0495,"Blair, Fuller and Benitez",HR,Training,9.54,Average,Ramseyport,Small,2023-04-29,jordan99@example.com,Net 60,True,Low,High,Biennial,Fixed
V0496,Mendez Group,Marketing,Events,8.13,Average,Vasquezburgh,Large,2024-04-18,jeanettekrause@example.org,Net 45,True,High,High,Annual,Fixed
V0497,Johnson Ltd,Marketing,Events,2.14,Poor,Lake Melaniechester,Large,2023-04-19,cookann@example.net,Net 30,True,High,Medium,Annual,Negotiated
V0498,Smith and Sons,HR,Recruiting,1.93,Average,Jonathanland,Small,2023-01-27,william50@example.org,Net 60,True,Low,High,Annual,Fixed
V0499,"Cook, Foster and Carroll",Operations,Utilities,2.45,Poor,Port Gregorymouth,Large,2024-03-10,sandra77@example.org,Net 30,False,High,Low,Biennial,Fixed
V0500,"Taylor, Moore and Murray",Marketing,SEO,5.88,Good,Stevenchester,Medium,2024-05-22,conleykevin@example.net,Net 60,False,Medium,Medium,Annual,CPI Linked
V0501,"Stewart, Herrera and Clark",Operations,Utilities,4.63,Good,Laurenstad,Large,2022-07-23,juanjohnson@example.com,Net 60,True,High,Low,Biennial,Fixed
V0502,"Ferguson, Martin and Obrien",Operations,Logistics,7.99,Good,New Darryl,Medium,2024-01-30,janet50@example.com,Net 45,True,Medium,Low,Biennial,CPI Linked
V0503,Miller-Wiley,HR,Training,2.69,Poor,Shannonport,Large,2022-11-16,gregory50@example.org,Net 60,False,High,Low,Biennial,Negotiated
V0504,Wallace Inc,Operations,Logistics,1.3,Average,Steinberg,Small,2022-10-27,sandra84@example.com,Net 60,False,High,Medium,Annual,Negotiated
V0505,Hammond Inc,IT,Software,0.32,Good,East Jenny,Large,2023-05-24,hreeves@example.org,Net 30,False,Medium,Low,Annual,Negotiated
V0506,Collins Inc,Operations,Utilities,1.75,Good,West Steventon,Small,2022-08-21,andrew43@example.com,Net 30,False,High,High,Annual,Negotiated
V0507,Lee LLC,Facilities,Maintenance,2.41,Good,Kendraville,Small,2022-12-30,ericwilson@example.net,Net 60,True,Medium,Low,Annual,Negotiated
